ENTITY	Historic currency	Alphabetic Code	Numeric Code	Funds	Withdrawal Date
AFGHANISTAN	Afghani	AFA	004		2003-01
LAND ISLANDS	Markka	FIM	246		2002-03
ALBANIA	Old Lek	ALK			1989-12
ANDORRA	Andorran Peseta	ADP	020		2003-07
ANDORRA	Spanish Peseta	ESP	724		2002-03
ANDORRA	French Franc	FRF	250		2002-03
ANGOLA	Kwanza	AOK			1991-03
ANGOLA	New Kwanza	AON	024		2000-02
ANGOLA	Kwanza Reajustado	AOR	982		2000-02
ARGENTINA	Austral	ARA	032		1992-01
ARGENTINA	Peso Argentino	ARP	032		1985-07
ARGENTINA	Peso	ARY			1989 to 1990
ARMENIA	Russian Ruble	RUR	810		1994-08
AUSTRIA	Schilling	ATS	040		2002-03
AZERBAIJAN	Azerbaijan Manat	AYM	945		2005-10
AZERBAIJAN	Azerbaijanian Manat	AZM	031		2005-12
AZERBAIJAN	Russian Ruble	RUR	810		1994-08
BELARUS	Belarussian Ruble	BYB	112		2001-01
BELARUS	Russian Ruble	RUR	810		1994-06
BELGIUM	Convertible Franc	BEC	993		1990-03
BELGIUM	Belgian Franc	BEF	056		2002-03
BELGIUM	Financial Franc	BEL	992		1990-03
BOLIVIA	Peso boliviano	BOP			1987-02
BOSNIA AND HERZEGOVINA	Dinar	BAD	070		1997-07
BRAZIL	Cruzeiro	BRB			1986-03
BRAZIL	Cruzado	BRC	076		1989-02
BRAZIL	Cruzeiro	BRE	076		1993-03
BRAZIL	New Cruzado	BRN	076		1990-03
BRAZIL	Cruzeiro Real	BRR	987		1994-07
BULGARIA	Lev A/52	BGJ			1989 to 1990
BULGARIA	Lev A/62	BGK			1989 to 1990
BULGARIA	Lev	BGL	100		2003-11
BURMAÊ	N.A.	BUK			1990-02
CHINA	Peoples Bank Dollar	CNX			1989-12
CROATIA	Croatian Dinar	HRD	191		1995-01
CYPRUS	Cyprus Pound	CYP	196		2008-01
CZECHOSLOVAKIA	Krona A/53	CSJ			1989 to 1990
CZECHOSLOVAKIA	Koruna	CSK	200		1993-03
ECUADOR	Sucre	ECS	218		2000-09
ECUADOR	Unidad de Valor Constante (UVC)	ECV	983		2000-09
EQUATORIAL GUINEA	Ekwele	EQE			1989-12
EQUATORIAL GUINEA	Ekwele	GQE	226		1986-06
ESTONIA	Kroon	EEK	233		2011-01
EUROPEAN MONETARY CO-OPERATION FUND (EMCF)	European Currency Unit (E.C.U)	XEU	954		1999-01
FINLAND	Markka	FIM	246		2002-03
FRANCE	French Franc	FRF	250		2002-03
FRENCH  GUIANA	French Franc	FRF	250		2002-03
FRENCH SOUTHERN TERRITORIES	French Franc	FRF	250		2002-03
GEORGIA	Georgian Coupon	GEK	268		1995-10
GEORGIA	Russian Ruble	RUR	810		1994-04
GERMAN DEMOCRATIC REPUBLIC	Mark der DDR	DDM	278		1990-07 to 1990-09
GERMANY	Deutsche Mark	DEM	276		2002-03
GHANA	Cedi	GHC	288		2008-01
GHANA	Ghana Cedi	GHP	939		2007-06
GREECE	Drachma	GRD	300		2002-03
GUADELOUPE	French Franc	FRF	250		2002-03
GUINEA	Syli	GNE			1989-12
GUINEA	Syli	GNS			1986-02
GUINEA-BISSAU	Guinea Escudo	GWE			1978 to 1981
GUINEA-BISSAU	Guinea-Bissau Peso	GWP	624		1997-05
HOLY SEE (VATICAN CITY STATE)	Italian Lira	ITL	380		2002-03
ICELAND	Old Krona	ISJ			1989 to 1990
IRELAND	Irish Pound	IEP	372		2002-03
ISRAEL	Pound	ILP			1978 to 1981
ISRAEL	Old Shekel	ILR			1989 to 1990
ITALY	Italian Lira	ITL	380		2002-03
KAZAKHSTAN	Russian Ruble	RUR	810		1994-05
KYRGYZSTAN	Russian Ruble	RUR	810		1993-01
LAO	Kip Pot Pol	LAJ			1989-12
LATVIA	Latvian Lats	LVL	428	 	2014-01
LATVIA	Latvian Ruble	LVR	428		1994-12
LESOTHO	Maloti	LSM			1985-05
LESOTHO	Financial Rand	ZAL	991		1995-03
LITHUANIA	Lithuanian Litas	LTL	440	 	2014-12
LITHUANIA	Talonas	LTT	440		1993-07
LUXEMBOURG	Luxembourg Convertible Franc	LUC	989		1990-03
LUXEMBOURG	Luxembourg Franc	LUF	442		2002-03
LUXEMBOURG	Luxembourg Financial Franc	LUL	988		1990-03
MADAGASCAR	Malagasy Franc	MGF	450		2004-12
MALDIVES	Maldive Rupee	MVQ			1989-12
MALI	Mali Franc	MAF			1989-12
MALI	Mali Franc	MLF	466		1984-11
MALTA	Maltese Lira	MTL	470		2008-01
MALTA	Maltese Pound	MTP			1983-06
MARTINIQUE	French Franc	FRF	250		2002-03
MAYOTTE	French Franc	FRF	250		2002-03
MEXICO	Mexican Peso	MXP			1993-01
MOLDOVA, REPUBLIC OF	Russian Ruble	RUR	810		1993-12
MONACO	French Franc	FRF	250		2002-03
MOZAMBIQUE	Mozambique Escudo	MZE			1978 to 1981
MOZAMBIQUE	Mozambique Metical	MZM	508		2006-06
NETHERLANDS	Netherlands Guilder	NLG	528		2002-03
NETHERLANDS ANTILLES	Netherlands Antillean Guilder	ANG	532		2010-10
NICARAGUA	Cordoba	NIC			1990-10
PERU	Sol	PEH			1989 to 1990
PERU	Inti	PEI	604		1991-07
PERU	Sol	PES	604		1986-02
POLAND	Zloty	PLZ	616		1997-01
PORTUGAL	Portuguese Escudo	PTE	620		2002-03
RƒUNION	French Franc	FRF	250		2002-03
ROMANIA	Leu A/52	ROK			1989 to 1990
ROMANIA	Old Leu	ROL	642		2005-06
RUSSIAN FEDERATION	Russian Ruble	RUR	810		2004-01
SAINT MARTIN	French Franc	FRF	250		1999-01
SAINT PIERRE AND MIQUELON	French Franc	FRF	250		2002-03
SAINT-BARTHƒLEMY	French Franc	FRF	250		1999-01
SAN MARINO	Italian Lira	ITL	380		2002-03
SERBIA AND MONTENEGRO	Serbian Dinar	CSD	891		2006-10
SERBIA AND MONTENEGRO	Euro	EUR	978		2006-10
SLOVAKIA	Slovak Koruna	SKK	703		2009-01
SLOVENIA	Tolar	SIT	705		2007-01
SOUTH AFRICA	Financial Rand	ZAL	991		1995-03
SOUTH SUDAN	Sudanese Pound	SDG	938		2012-09
SOUTHERN RHODESIAÊ	Rhodesian Dollar	RHD			1978 to 1981
SPAIN	Spanish Peseta	ESA	996		1978 to 1981
SPAIN	"""A"" Account (convertible Peseta Account)"	ESB	995		1994-12
SPAIN	Spanish Peseta	ESP	724		2002-03
SUDAN	Sudanese Dinar	SDD	736		2007-07
SUDAN	Sudanese Pound	SDP			1998-06
SURINAME	Surinam Guilder	SRG	740		2003-12
SWITZERLAND	WIR Franc (for electronic)	CHC	948		2004-11
TAJIKISTAN	Russian Ruble	RUR	810		1995-05
TAJIKISTAN	Tajik Ruble	TJR	762		2001-04
TIMOR-LESTE	Rupiah	IDR	360		2002-07
TIMOR-LESTE	Timor Escudo	TPE	626		2002-11
TURKEY	Old Turkish Lira	TRL	792		2005-12
TURKEY	New Turkish Lira	TRY	949		2009-01
TURKMENISTAN	Russian Ruble	RUR	810		1993-10
TURKMENISTAN	Turkmenistan Manat	TMM	795		2009-01
UGANDA	Uganda Shilling	UGS			1987-05
UGANDA	Old Shilling	UGW			1989 to 1990
UKRAINE	Karbovanet	UAK	804		1996-09
UNION OF SOVIET SOCIALIST REPUBLICS	Rouble	SUR			1990-12
UNITED STATES	US Dollar (Same day)	USS	998		2014-03
URUGUAY	Old Uruguay Peso	UYN			1989-12
URUGUAY	Uruguayan Peso	UYP			1993-03
UZBEKISTAN	Russian Ruble	RUR	810		1994-07
VENEZUELA	Bolivar	VEB	862		2008-01
VENEZUELA	Bolivar Fuerte	VEF	937		2011-12
VIETNAM	Old Dong	VNC			1989-1990
YEMEN, DEMOCRATIC	Yemeni Dinar	YDD	720		1991-09
YUGOSLAVIA	New Yugoslavian Dinar	YUD			1990-01
YUGOSLAVIA	New Dinar	YUM	891		2003-07
YUGOSLAVIA	Yugoslavian Dinar	YUN	890		1995-11
ZAIRE	New Zaire	ZRN	180		1999-06
ZAIRE	Zaire	ZRZ	180		1994-02
ZAMBIA	Zambian Kwacha	ZMK	894		2012-12
ZIMBABWE	Rhodesian Dollar	ZWC			1989-12
ZIMBABWE	Zimbabwe Dollar (old)	ZWD	716		2006-08
ZIMBABWE	Zimbabwe Dollar	ZWD	716		2008-08
ZIMBABWE	Zimbabwe Dollar (new)	ZWN	942		2006-09
ZIMBABWE	Zimbabwe Dollar	ZWR	935		2009-06
Gold-Franc	Gold-Franc	XFO			2006-10
RINET Funds Code	RINET Funds Code	XRE		TRUE	1999-11
UIC-Franc	UIC-Franc	XFU		TRUE	2013-11
